,State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness
218,AR,Phillips County,36.0,26933.0,2010,10.191666666666666,63.7,10.0,11426048.0,7.0,55.757008839978354
219,AR,Pike County,21.2,31569.0,2010,8.691666666666666,63.7,10.0,11426048.0,7.0,60.617814329523284
220,AR,Poinsett County,27.1,32130.0,2010,9.0,63.7,10.0,11426048.0,7.0,56.94376731301939
221,AR,Polk County,22.8,29938.0,2010,7.166666666666668,63.7,10.0,11426048.0,7.0,60.97363737486096
222,AR,Pope County,17.7,39040.0,2010,7.5166666666666675,63.7,10.0,11426048.0,7.0,68.97607402511566
223,AR,Prairie County,18.3,36898.0,2010,8.858333333333333,63.7,10.0,11426048.0,7.0,66.68448910708807
224,AR,Pulaski County,17.1,44733.0,2010,7.025,63.7,10.0,11426048.0,7.0,68.67937823834197
225,AR,Randolph County,19.2,33401.0,2010,9.875,63.7,10.0,11426048.0,7.0,66.96053310404128
226,AR,St. Francis County,32.7,29825.0,2010,10.275,63.7,10.0,11426048.0,7.0,55.88167539267016
227,AR,Saline County,9.6,53430.0,2010,6.4,63.7,10.0,11426048.0,7.0,67.54
228,AR,Scott County,22.5,29633.0,2010,6.783333333333332,63.7,10.0,11426048.0,7.0,61.09399544678429
229,AR,Searcy County,23.7,27896.0,2010,8.875,63.7,10.0,11426048.0,7.0,57.24297774366846
230,AR,Sebastian County,20.5,38724.0,2010,7.7333333333333325,63.7,10.0,11426048.0,7.0,69.31511216056671
231,AR,Sevier County,23.5,35279.0,2010,6.725,63.7,10.0,11426048.0,7.0,61.08564929693962
232,AR,Sharp County,25.1,28933.0,2010,9.458333333333334,63.7,10.0,11426048.0,7.0,56.83033518205932
233,AR,Stone County,22.4,29182.0,2010,7.308333333333334,63.7,10.0,11426048.0,7.0,60.94476858345021
234,AR,Union County,21.6,36934.0,2010,11.0,63.7,10.0,11426048.0,7.0,56.411656441717795
235,AR,Van Buren County,20.9,32142.0,2010,10.85,63.7,10.0,11426048.0,7.0,67.27110236220473
236,AR,Washington County,19.6,39692.0,2010,6.258333333333333,63.7,10.0,11426048.0,7.0,68.44366741862714
237,AR,White County,16.7,39974.0,2010,7.933333333333334,63.7,10.0,11426048.0,7.0,69.07834912043302
238,AR,Woodruff County,25.9,27003.0,2010,10.041666666666666,63.7,10.0,11426048.0,7.0,56.46385346626479
239,AR,Yell County,20.3,33522.0,2010,7.775,63.7,10.0,11426048.0,7.0,69.32181656277828
240,AR,Arkansas County,18.5,37922.0,2011,11.641666666666667,64.7,10.3,18613757.0,7.0,68.27264307437103
