State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings,TotalCrime,StateCrime,CrimeScore
AZ,Cochise County,21.1,45151.0,2016,6.333333333333332,63.4,8.25,48282977.0,5.0,60.96439854191981,125686,1.81,437143.8768551889,58521.9,818.0,22848.0,-4499.787640056022
AZ,Coconino County,17.8,53643.0,2016,6.125,63.4,8.25,48282977.0,5.0,67.95694879832811,140407,2.02,488344.4482090807,74645.3,518.0,22848.0,-3183.2469362745096
AZ,Gila County,20.3,40747.0,2016,7.341666666666668,63.4,8.25,48282977.0,5.0,60.70414531202894,53356,0.77,185575.55092441046,24377.0,0.0,22848.0,0.0
AZ,Graham County,22.9,46714.0,2016,6.8583333333333325,63.4,8.25,48282977.0,5.0,60.76114533744049,37807,0.54,131495.1430729288,17445.8,134.0,22848.0,-221.73223039215685
AZ,Greenlee County,12.0,61110.0,2016,7.675,63.4,8.25,48282977.0,5.0,68.08106734434561,9643,0.14,33538.96539403423,4499.2,60.0,22848.0,-25.323004201680675
AZ,La Paz County,24.8,34285.0,2016,6.125,63.4,8.25,48282977.0,5.0,60.944058205335494,20648,0.3,71815.05314279985,9047.8,445.0,22848.0,-402.1516106442577
AZ,Maricopa County,15.0,58742.0,2016,4.658333333333333,63.4,8.25,48282977.0,5.0,66.95447223399745,4256143,61.32,14803135.205751432,3078632.7,6511.0,22848.0,-1212874.0840773808
AZ,Mohave County,18.3,42003.0,2016,6.708333333333332,63.4,8.25,48282977.0,5.0,68.30886371209597,205412,2.96,714435.9597137156,105151.7,0.0,22848.0,0.0
AZ,Navajo County,28.2,37440.0,2016,8.408333333333333,63.4,8.25,48282977.0,5.0,56.92292283177783,108467,1.56,377255.1031208868,50097.3,482.0,22848.0,-2288.213147759104
AZ,Pima County,18.2,47644.0,2016,5.033333333333333,63.4,8.25,48282977.0,5.0,67.3428981348637,1016707,14.65,3536171.408158494,502950.9,9588.0,22848.0,-426653.83035714284
AZ,Pinal County,15.4,52642.0,2016,5.625,63.4,8.25,48282977.0,5.0,67.52009512485137,417193,6.01,1451023.7052404154,203883.3,1903.0,22848.0,-34747.823835784315
AZ,Santa Cruz County,20.9,39090.0,2016,10.208333333333334,63.4,8.25,48282977.0,5.0,56.54157514063756,46400,0.67,161382.14189393225,21559.3,0.0,22848.0,0.0
AZ,Yavapai County,13.3,49824.0,2016,5.008333333333333,63.4,8.25,48282977.0,5.0,67.03827947200729,224575,3.24,781086.0887032291,114117.8,1254.0,22848.0,-12325.676207983193
AZ,Yuma County,19.3,42998.0,2016,19.033333333333328,63.4,8.25,48282977.0,5.0,68.1914347826087,207247,2.99,720818.2060580123,105847.1,1135.0,22848.0,-10295.22693452381
AZ,Apache County,33.1,33053.0,2017,10.425,56.97,8.33,41824609.0,5.0,49.04197013210797,71545,1.02,212403.33989576672,37652.3,0.0,25912.0,0.0
AZ,Cochise County,16.1,48966.0,2017,5.6416666666666675,56.97,8.33,41824609.0,5.0,61.147730931391344,124864,1.77,370697.19243476156,49386.7,805.0,25912.0,-3879.110836677987
AZ,Coconino County,18.4,54399.0,2017,5.616666666666667,56.97,8.33,41824609.0,5.0,61.273122831367104,141001,2.0,418604.8407106437,65149.1,527.0,25912.0,-2867.687828033344
AZ,Gila County,24.1,38897.0,2017,6.116666666666667,56.97,8.33,41824609.0,5.0,54.530755653612786,53578,0.76,159062.7737079515,30612.8,0.0,25912.0,0.0
AZ,Graham County,20.9,46378.0,2017,5.525,56.97,8.33,41824609.0,5.0,54.7850898770104,37481,0.53,111273.87773615534,14386.8,138.0,25912.0,-199.61322939178757
AZ,Greenlee County,10.1,63557.0,2017,5.1,56.97,8.33,41824609.0,5.0,60.358815789473674,9443,0.13,28034.450187095186,3705.0,52.0,25912.0,-18.950138931769068
AZ,La Paz County,20.9,36389.0,2017,5.4833333333333325,56.97,8.33,41824609.0,5.0,54.7981427668983,20706,0.29,61472.130210101976,17424.9,0.0,25912.0,0.0
AZ,Maricopa County,13.5,62221.0,2017,4.25,56.97,8.33,41824609.0,5.0,60.202394366197176,4327184,61.43,12846576.755098518,2797370.0,6800.0,25912.0,-1135568.508799012
AZ,Mohave County,17.3,42210.0,2017,5.941666666666666,56.97,8.33,41824609.0,5.0,61.39269630692005,207017,2.94,614593.6433741272,91523.0,2597.0,25912.0,-20748.037550169804
AZ,Navajo County,26.4,40883.0,2017,7.741666666666667,56.97,8.33,41824609.0,5.0,50.98376617036857,109079,1.55,323834.56443483604,43230.7,526.0,25912.0,-2214.246449521457
AZ,Pima County,16.6,51392.0,2017,4.566666666666666,56.97,8.33,41824609.0,5.0,60.551417322834645,1026391,14.57,3047157.4035775512,437064.6,9501.0,25912.0,-376340.7259570855
