State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings
AZ,Yuma County,19.0,46013.0,2017,17.183333333333334,56.97,8.33,41824609.0,5.0,61.481515430677106,209507,2.97,621985.974303479,1042797.9
AZ,Apache County,37.3,33652.0,2018,9.95,54.945,8.37,95355516.0,5.0,47.09029100529101,71731,1.0,477781.75360937597,73300.1
AZ,Cochise County,15.1,49164.0,2018,5.6083333333333325,54.945,8.37,95355516.0,5.0,59.03445674044266,126411,1.77,841991.1789256365,121981.9
AZ,Coconino County,15.9,60187.0,2018,5.525,54.945,8.37,95355516.0,5.0,59.04523337222871,142523,1.99,949309.0695747876,136617.6
AZ,Gila County,20.4,43585.0,2018,5.8,54.945,8.37,95355516.0,5.0,52.68698473282443,53801,0.75,358354.63225018524,47845.8
AZ,Graham County,20.2,50157.0,2018,5.091666666666667,54.945,8.37,95355516.0,5.0,52.91168863261944,37995,0.53,253074.9289482684,43130.0
AZ,Greenlee County,10.5,65818.0,2018,4.175,54.945,8.37,95355516.0,5.0,57.93222316865418,9448,0.13,62930.69953160258,8082.6
AZ,La Paz County,23.7,37350.0,2018,6.25,54.945,8.37,95355516.0,5.0,52.472128547579295,21039,0.29,140135.3712368106,18382.5
AZ,Maricopa County,12.3,65234.0,2018,4.133333333333333,54.945,8.37,95355516.0,5.0,58.038711967545645,4402403,61.5,29323274.81054464,6129025.7
AZ,Mohave County,16.8,45129.0,2018,5.708333333333332,54.945,8.37,95355516.0,5.0,59.20564420584969,209292,2.92,1394040.2165927356,195969.8
AZ,Navajo County,28.5,40650.0,2018,7.7,54.945,8.37,95355516.0,5.0,48.882845303867406,110242,1.54,734293.6259274906,107502.0
AZ,Pima County,16.2,53395.0,2018,4.433333333333334,54.945,8.37,95355516.0,5.0,58.425775444264936,1036554,14.48,6904219.763154189,1942436.5
AZ,Pinal County,12.9,58848.0,2018,5.0,54.945,8.37,95355516.0,5.0,58.548351955307254,446806,6.24,2976059.921138571,1377424.0
AZ,Santa Cruz County,24.4,40545.0,2018,9.225,54.945,8.37,95355516.0,5.0,48.25087360594796,46395,0.65,309025.16985274147,50456.4
AZ,Yavapai County,13.2,48758.0,2018,4.441666666666666,54.945,8.37,95355516.0,5.0,58.26838214454417,231772,3.24,1543773.7184418493,1166263.7
AZ,Yuma County,19.5,44116.0,2018,16.925,54.945,8.37,95355516.0,5.0,45.884258750857924,211612,2.96,1409493.140271114,198318.2
AZ,Apache County,33.4,35386.0,2019,10.075,52.92,8.4,66078612.0,5.0,45.17980448533641,71887,0.99,326307.0387847199,993502.4
AZ,Cochise County,16.6,48650.0,2019,5.791666666666668,52.92,8.4,66078612.0,5.0,57.21363602530703,125922,1.73,571580.8830226536,85798.3
AZ,Coconino County,15.9,58301.0,2019,5.758333333333333,52.92,8.4,66078612.0,5.0,57.147356675644474,143476,1.97,651261.4060494453,96368.0
AZ,Gila County,21.1,45980.0,2019,5.683333333333334,52.92,8.4,66078612.0,5.0,50.68132545115122,54018,0.74,245196.67841296757,42086.9
AZ,Graham County,20.1,50685.0,2019,4.941666666666666,52.92,8.4,66078612.0,5.0,50.936755407653905,38837,0.53,176287.59671821285,23368.1
AZ,Greenlee County,9.3,68066.0,2019,4.008333333333333,52.92,8.4,66078612.0,5.0,55.72106449592986,9498,0.13,43113.00032519468,5544.2
AZ,La Paz County,22.1,39407.0,2019,6.016666666666668,52.92,8.4,66078612.0,5.0,50.55541790160048,21108,0.29,95812.71961088746,12513.4
AZ,Maricopa County,12.2,68634.0,2019,4.183333333333334,52.92,8.4,66078612.0,5.0,56.03515768056969,4485414,61.62,20360039.507331308,3881242.1
AZ,Mohave County,16.0,49712.0,2019,5.8583333333333325,52.92,8.4,66078612.0,5.0,57.208219595882575,212181,2.92,963124.8180669753,138304.8
AZ,Navajo County,25.2,40676.0,2019,7.575,52.92,8.4,66078612.0,5.0,47.095743707093824,110924,1.52,503502.46873782837,76478.8
AZ,Pima County,14.0,56150.0,2019,4.55,52.92,8.4,66078612.0,5.0,56.35396226415094,1047279,14.39,4753773.412041435,1635027.9
AZ,Pinal County,12.1,62067.0,2019,5.05,52.92,8.4,66078612.0,5.0,56.48297376093295,462789,6.36,2100676.1747206273,300752.9
AZ,Santa Cruz County,18.8,47779.0,2019,8.733333333333333,52.92,8.4,66078612.0,5.0,46.95680387409201,46498,0.64,211062.14878089092,37507.9
AZ,Yavapai County,12.0,54242.0,2019,4.558333333333334,52.92,8.4,66078612.0,5.0,56.22347257171616,235099,3.23,1067153.4284536685,152391.4
AZ,Yuma County,20.4,47024.0,2019,16.833333333333332,52.92,8.4,66078612.0,5.0,43.69708146821844,213787,2.94,970414.7189431874,139579.7
AZ,Mohave County,19.55,39853.5,2015,7.941666666666666,63.0,8.25,40260979.0,5.0,68.64751439830253,204574,3.0,602982.4487974247,90071.4
AZ,Yuma County,20.950000000000006,41349.0,2015,21.68333333333333,63.0,8.25,40260979.0,5.0,52.344820172009385,205186,3.0,604786.3205439028,90259.5
AZ,Yavapai County,14.45,46984.5,2015,5.625,63.0,8.25,40260979.0,5.0,67.04887920298879,220805,3.23,650823.3676161944,96316.7
AZ,Santa Cruz County,22.25,38277.5,2015,11.541666666666664,63.0,8.25,40260979.0,5.0,55.40043156596794,46542,0.68,137182.67781795212,18067.1
AZ,Pinal County,16.5,51259.0,2015,6.308333333333334,63.0,8.25,40260979.0,5.0,67.56357325538912,405614,5.94,1195548.4225097941,169514.2
AZ,Pima County,18.45,46757.5,2015,5.4833333333333325,63.0,8.25,40260979.0,5.0,67.22705431754875,1009103,14.78,2974333.972199926,427234.0
AZ,Navajo County,28.35,36448.5,2015,9.691666666666666,63.0,8.25,40260979.0,5.0,55.777426067908,107638,1.58,317263.3121689814,51826.3
AZ,Maricopa County,16.05,56335.5,2015,5.15,63.0,8.25,40260979.0,5.0,66.89893867924528,4172905,61.1,12299649.395812847,2723950.2
AZ,Graham County,21.45,46380.0,2015,7.366666666666667,63.0,8.25,40260979.0,5.0,60.25827067669172,37860,0.55,111592.45804193348,14424.8
AZ,Greenlee County,11.15,60263.0,2015,7.95,63.0,8.25,40260979.0,5.0,67.64096858638743,9577,0.14,28228.23483010029,3735.4
AZ,La Paz County,23.8,33409.0,2015,7.483333333333332,63.0,8.25,40260979.0,5.0,60.15338305807139,20466,0.3,60323.59340428448,7797.6
AZ,Gila County,22.35,39212.0,2015,7.925,63.0,8.25,40260979.0,5.0,60.07475227085053,52978,0.78,156152.8061845101,20791.7
AZ,Coconino County,19.55,51148.0,2015,6.516666666666668,63.0,8.25,40260979.0,5.0,67.8875,138962,2.03,409590.89155898464,54661.1
AZ,Cochise County,19.9,45088.0,2015,7.283333333333332,63.0,8.25,40260979.0,5.0,68.33188228080931,126454,1.85,372723.5258646238,59103.3
AZ,Apache County,33.15000000000001,33203.0,2015,13.316666666666665,63.0,8.25,40260979.0,5.0,53.49969512195122,71012,1.04,209308.07264854148,27821.7
AR,Arkansas County,18.6,38129.0,2010,17.933333333333334,63.7,10.0,11426048.0,7.0,68.26514598540146,19009,0.65,37166.39671672889,4795.08
AR,Ashley County,19.4,37042.0,2010,9.575,63.7,10.0,11426048.0,7.0,66.90543572044865,21829,0.75,42680.06070437555,5377.26
AR,Baxter County,15.7,34421.0,2010,9.1,63.7,10.0,11426048.0,7.0,66.5804435483871,41510,1.42,81160.35181816066,940499.7
AR,Benton County,10.2,52417.0,2010,6.375,63.7,10.0,11426048.0,7.0,67.62307692307692,222593,7.62,435213.83262490574,56901.12
AR,Boone County,16.0,35532.0,2010,7.533333333333332,63.7,10.0,11426048.0,7.0,68.82181303116147,36893,1.26,72133.19343838596,8888.94
AR,Bradley County,28.5,31047.0,2010,10.091666666666667,63.7,10.0,11426048.0,7.0,56.24729000215936,11470,0.39,22426.143949754343,3037.38
AR,Calhoun County,15.6,36955.0,2010,8.416666666666666,63.7,10.0,11426048.0,7.0,69.1670367800139,5362,0.18,10483.78237651114,1296.42
AR,Carroll County,16.4,33789.0,2010,7.1,63.7,10.0,11426048.0,7.0,68.65489361702127,27553,0.94,53871.625479300914,6761.1
AR,Chicot County,30.7,27321.0,2010,11.908333333333333,63.7,10.0,11426048.0,7.0,55.11985135928027,11799,0.4,23069.40474831312,3108.06
AR,Clark County,22.2,33433.0,2010,8.108333333333333,63.7,10.0,11426048.0,7.0,60.73043717349464,22925,0.78,44822.959899574395,5797.62
AR,Clay County,18.3,31976.0,2010,10.616666666666667,63.7,10.0,11426048.0,7.0,67.05939481268013,16050,0.55,31380.959929691126,4179.42
AR,Cleburne County,18.6,35472.0,2010,8.291666666666666,63.7,10.0,11426048.0,7.0,69.43504803222808,25986,0.89,50807.82708616534,6431.88
AR,Cleveland County,15.5,40402.0,2010,8.1,63.7,10.0,11426048.0,7.0,69.01991525423729,8677,0.3,16965.270361989402,1986.48
AR,Columbia County,25.6,34538.0,2010,9.633333333333333,63.7,10.0,11426048.0,7.0,56.700567644276255,24723,0.85,48338.409491698054,6169.62
AR,Conway County,18.2,37475.0,2010,9.308333333333334,63.7,10.0,11426048.0,7.0,66.7792790063617,21219,0.73,41487.38870704773,5250.78
AR,Craighead County,21.1,37780.0,2010,7.116666666666667,63.7,10.0,11426048.0,7.0,61.039131718842285,96748,3.31,189161.68917618424,24434.82
AR,Crawford County,15.8,39672.0,2010,7.9,63.7,10.0,11426048.0,7.0,68.96666666666667,61956,2.12,121136.37092859461,15791.4
AR,Crittenden County,30.3,33938.0,2010,10.1,63.7,10.0,11426048.0,7.0,56.125,50958,1.74,99633.0813767726,12657.3
AR,Cross County,19.6,35080.0,2010,7.991666666666667,63.7,10.0,11426048.0,7.0,69.37695560253701,17862,0.61,34923.78232175345,4551.42
AR,Dallas County,19.4,31350.0,2010,11.491666666666667,63.7,10.0,11426048.0,7.0,67.30838953331535,8066,0.28,15770.643164665958,1860.0
AR,Desha County,28.0,29586.0,2010,10.708333333333334,63.7,10.0,11426048.0,7.0,55.954036598493005,12954,0.44,25327.660743253513,3342.42
AR,Drew County,20.9,34952.0,2010,10.383333333333333,63.7,10.0,11426048.0,7.0,67.16848694725627,18666,0.64,36495.763118231436,4726.26
AR,Faulkner County,14.8,46199.0,2010,6.941666666666666,63.7,10.0,11426048.0,7.0,68.42533537753928,114026,3.9,222943.63470049598,28872.78
AR,Franklin County,17.2,38514.0,2010,7.433333333333334,63.7,10.0,11426048.0,7.0,68.89025710419486,18142,0.62,35471.23832052688,4610.94
AR,Fulton County,18.9,30191.0,2010,7.541666666666668,63.7,10.0,11426048.0,7.0,69.0906397730854,12215,0.42,23882.767946490785,3191.76
AR,Garland County,21.7,36690.0,2010,8.133333333333333,63.7,10.0,11426048.0,7.0,60.74201117318436,96067,3.29,187830.19797916745,33407.46
AR,Grant County,11.9,45347.0,2010,6.808333333333334,63.7,10.0,11426048.0,7.0,68.03064587973275,17886,0.61,34970.70712164832,4555.14
AR,Greene County,17.0,36391.0,2010,9.341666666666667,63.7,10.0,11426048.0,7.0,66.71439417905728,42201,1.44,82511.39501513366,10646.64
